]0;IPython: pycaffe/python2.7.12 
../../china_lenet_dp2_gap_deploy.prototxt
../../weights/china_lenet_dp2_gap/china_lenet_dp2_gap_value1_iter_15000.caffemodel
 
/home/higaki/china_data/image_1/test/alp/B/0526_SN1_2.png 13
/home/higaki/china_data/image_1/test/alp/B/0822_SN1_0.png 13
/home/higaki/china_data/image_1/test/alp/B/1296_SN2_1.png 13
/home/higaki/china_data/image_1/test/alp/F/0738_SN1_0.png 29
/home/higaki/china_data/image_1/test/alp/J/0498_SN1_0.png 29
/home/higaki/china_data/image_1/test/alp/J/0878_SN1_0.png 29
/home/higaki/china_data/image_1/test/alp/J/0990_SN1_0.png 29
/home/higaki/china_data/image_1/test/alp/Q/0798_SN1_0.png 0
/home/higaki/china_data/image_1/test/alp/Q/1042_SN1_1.png 0
/home/higaki/china_data/image_1/test/alp/R/1074_SN1_1.png 17
/home/higaki/china_data/image_1/test/alp/T/0002_SN2_0.png 1
/home/higaki/china_data/image_1/test/alp/W/0722_SN1_1.png 1
/home/higaki/china_data/image_1/test/alp/W/0746_SN1_0.png 1
/home/higaki/china_data/image_1/test/alp/W/0750_SN1_1.png 1
/home/higaki/china_data/image_1/test/alp/W/0842_SN1_1.png 1
/home/higaki/china_data/image_1/test/alp/W/0890_SN1_0.png 1
/home/higaki/china_data/image_1/test/alp/W/1134_SN1_1.png 1
/home/higaki/china_data/image_1/test/num/2/0750_SN1_3.png 35
/home/higaki/china_data/image_1/test/num/2/0766_SN1_2.png 35
/home/higaki/china_data/image_1/test/num/3/0566_SN1_3.png 0
/home/higaki/china_data/image_1/test/num/3/0582_SN1_3.png 0
/home/higaki/china_data/image_1/test/num/3/0738_SN1_3.png 0
/home/higaki/china_data/image_1/test/num/3/1034_SN1_3.png 0
/home/higaki/china_data/image_1/test/num/3/1062_SN1_3.png 0
/home/higaki/china_data/image_1/test/num/3/1090_SN1_2.png 0
/home/higaki/china_data/image_1/test/num/3/1118_SN1_2.png 1
/home/higaki/china_data/image_1/test/num/4/0770_SN1_3.png 1
/home/higaki/china_data/image_1/test/num/4/0774_SN1_2.png 35
/home/higaki/china_data/image_1/test/num/4/0838_SN1_2.png 1
/home/higaki/china_data/image_1/test/num/4/1030_SN1_2.png 1
/home/higaki/china_data/image_1/test/num/4/1296_SN2_9.png 35
/home/higaki/china_data/image_1/test/num/5/0470_SN1_3.png 6
/home/higaki/china_data/image_1/test/num/5/0770_SN1_2.png 28
/home/higaki/china_data/image_1/test/num/5/0778_SN1_2.png 13
/home/higaki/china_data/image_1/test/num/5/0806_SN1_3.png 6
/home/higaki/china_data/image_1/test/num/5/0890_SN1_3.png 28
/home/higaki/china_data/image_1/test/num/5/1078_SN1_6.png 6
/home/higaki/china_data/image_1/test/num/6/0738_SN1_2.png 1
/home/higaki/china_data/image_1/test/num/6/0842_SN1_2.png 16
/home/higaki/china_data/image_1/test/num/6/1146_SN1_8.png 0
/home/higaki/china_data/image_1/test/num/8/0002_SN2_8.png 11
/home/higaki/china_data/image_1/test/num/8/0008_SN2_6.png 6
/home/higaki/china_data/image_1/test/num/8/0032_SN2_9.png 11
/home/higaki/china_data/image_1/test/num/8/0034_SN2_8.png 11
/home/higaki/china_data/image_1/test/num/8/0052_SN2_3.png 11
/home/higaki/china_data/image_1/test/num/8/0052_SN2_8.png 11
/home/higaki/china_data/image_1/test/num/8/0080_SN2_7.png 11
/home/higaki/china_data/image_1/test/num/8/0096_SN2_5.png 11
/home/higaki/china_data/image_1/test/num/8/0446_SN1_8.png 11
/home/higaki/china_data/image_1/test/num/8/0458_SN1_3.png 28
/home/higaki/china_data/image_1/test/num/8/0482_SN1_3.png 4
/home/higaki/china_data/image_1/test/num/8/0526_SN1_3.png 0
/home/higaki/china_data/image_1/test/num/8/0530_SN1_2.png 6
/home/higaki/china_data/image_1/test/num/8/0534_SN1_2.png 6
/home/higaki/china_data/image_1/test/num/8/0550_SN1_1.png 13
/home/higaki/china_data/image_1/test/num/8/0734_SN1_2.png 1
/home/higaki/china_data/image_1/test/num/8/0750_SN1_6.png 11
/home/higaki/china_data/image_1/test/num/8/0782_SN1_3.png 11
/home/higaki/china_data/image_1/test/num/8/0806_SN1_2.png 11
/home/higaki/china_data/image_1/test/num/8/0842_SN1_3.png 6
/home/higaki/china_data/image_1/test/num/8/0878_SN1_8.png 6
/home/higaki/china_data/image_1/test/num/8/1010_SN1_2.png 6
/home/higaki/china_data/image_1/test/num/8/1018_SN1_2.png 6
/home/higaki/china_data/image_1/test/num/8/1026_SN1_2.png 1
/home/higaki/china_data/image_1/test/num/8/1030_SN1_3.png 1
/home/higaki/china_data/image_1/test/num/8/1034_SN1_8.png 6
/home/higaki/china_data/image_1/test/num/8/1050_SN1_9.png 11
/home/higaki/china_data/image_1/test/num/8/1110_SN1_3.png 11
/home/higaki/china_data/image_1/test/num/8/1118_SN1_9.png 6
/home/higaki/china_data/image_1/test/num/9/0096_SN2_6.png 0
/home/higaki/china_data/image_1/test/num/9/0422_SN2_7.png 0
/home/higaki/china_data/image_1/test/num/9/0446_SN1_2.png 0
/home/higaki/china_data/image_1/test/num/9/0762_SN1_3.png 0
/home/higaki/china_data/image_1/test/num/9/0766_SN1_8.png 0
/home/higaki/china_data/image_1/test/num/9/0802_SN1_3.png 0
/home/higaki/china_data/image_1/test/num/9/0838_SN1_3.png 0
