]0;IPython: pycaffe/python2.7.12 
../../china_lenet_dp2_deploy.prototxt
../../weights/china_lenet_dp2/china_lenet_dp2_value1_iter_15000.caffemodel
 
/home/higaki/china_data/image_1/test/alp/B/0526_SN1_2.png 13
/home/higaki/china_data/image_1/test/alp/C/0566_SN1_2.png 0
/home/higaki/china_data/image_1/test/alp/C/0582_SN1_2.png 0
/home/higaki/china_data/image_1/test/alp/C/0722_SN1_0.png 0
/home/higaki/china_data/image_1/test/alp/C/0766_SN1_0.png 0
/home/higaki/china_data/image_1/test/alp/C/0782_SN1_0.png 0
/home/higaki/china_data/image_1/test/alp/C/0826_SN1_0.png 0
/home/higaki/china_data/image_1/test/alp/F/0738_SN1_0.png 29
/home/higaki/china_data/image_1/test/alp/G/0890_SN1_1.png 0
/home/higaki/china_data/image_1/test/alp/Q/0598_SN1_0.png 0
/home/higaki/china_data/image_1/test/alp/Q/0986_SN1_1.png 0
/home/higaki/china_data/image_1/test/alp/X/1082_SN1_0.png 35
/home/higaki/china_data/image_1/test/alp/Y/0734_SN1_0.png 32
/home/higaki/china_data/image_1/test/num/0/0388_SN2_5.png 13
/home/higaki/china_data/image_1/test/num/2/1070_SN1_2.png 9
/home/higaki/china_data/image_1/test/num/3/0514_SN1_3.png 8
/home/higaki/china_data/image_1/test/num/4/1282_SN1_3.png 35
/home/higaki/china_data/image_1/test/num/6/0738_SN1_2.png 0
/home/higaki/china_data/image_1/test/num/6/0842_SN1_2.png 16
/home/higaki/china_data/image_1/test/num/6/1146_SN1_8.png 8
/home/higaki/china_data/image_1/test/num/8/0008_SN2_4.png 11
/home/higaki/china_data/image_1/test/num/8/0522_SN1_7.png 11
/home/higaki/china_data/image_1/test/num/8/0526_SN1_3.png 3
/home/higaki/china_data/image_1/test/num/8/0550_SN1_1.png 11
/home/higaki/china_data/image_1/test/num/8/0734_SN1_2.png 0
/home/higaki/china_data/image_1/test/num/8/0782_SN1_3.png 11
/home/higaki/china_data/image_1/test/num/8/0806_SN1_2.png 11
/home/higaki/china_data/image_1/test/num/8/1110_SN1_3.png 11
/home/higaki/china_data/image_1/test/num/8/1126_SN1_3.png 11
/home/higaki/china_data/image_1/test/num/9/0838_SN1_3.png 0
